	metabolite	PNCA	PNCB	NADD-NaMN	NADE	SIRT	NAMPT	NADD-NMN	NT5-NaMN	NT5-NMN	NADR-NMN	PNP-NR	NADR-NaMN	PNP-NAR	NMN thermolysis	NaMN thermolysis	NAR thermolysis	NR thermolysis	NAD thermolysis	Summation Error	temperature
59		4.334733491104402e-05	-0.9407501072616912	0.0001395247911385	2.1040742721396064e-06	0.0001395248070357	-1.0008438548610867	inf	-inf	0.0	7.4e-323	7.4e-323	6.384648614886652e+20	0.0	1.202627028038e-311	1.202613252492e-311	1.2025871998096e-311	-1.1408042888314e-310	1.0635294425628266e-94	3.483440164960454e+228	50.0
60	NAD	0.8077589511200963	-0.0159009717452062	-1.392224942396289	0.0417925403348113	-1.392225131638549	0.0366877943592753	-inf	-inf	1.076626217248244e+277	0.0	6.95194986536514e-310	0.0	6.95194986538175e-310	0.0	0.0	0.0	6.9519498617786e-310	0.0	0.0	50.0
61	NaAD	-2.4159515108604837e-10	4.755866159001668e-12	4.1640629661383527e-10	-1.2499861601605368e-11	4.1640483061066556e-10	-1.0973067161870624e-11	inf	inf	1.202615089926e-311	1.6779197143673458e+243	0.0	7.4e-323	0.0	0.0	6.21648314439745e-310	0.0	0.0	7.4e-323	7.4e-323	50.0
62	NR	-4.6128778361475865e-10	-1.165449244980703e-10	3.4151175939032675e-08	-2.386652939080453e-11	-2.5405442673057638e-09	-2.095133835420068e-11	-inf	inf	0.0	1.2026270264967e-311	2.150289495073121e-13	0.0	7.50048895508246e+247	7.2020760384649804e+252	0.0	0.0	1.076626217248244e+277	0.0	6.9519498617786e-310	50.0
63	NAR	-3.516827169859017e-14	-5.873082133712021e-15	-1.1319872814408941e-13	-6.70232828120691e-16	-1.1319874353097334e-13	-1.5974255385899841e-15	-inf	inf	6.95194987116864e-310	0.0	1.202615090084e-311	2.309556055536773e+161	3.3339533976723545e+178	0.0	7.4e-323	0.0	1.2026150905347e-311	1.6779197143673458e+243	0.0	50.0
64	NAM	-1.2037337235870529	0.053562020124232	0.0086867700564935	0.0478847145988629	0.0086867754246884	0.0503735314794821	inf	inf	0.0	9.27923374638954e+199	1.313228924914058e-47	7.4e-323	0.0	7.4e-323	0.0	0.0	0.0	7.4e-323	3.5e-323	50.0
65	NaMN	-0.0004351006574972	0.0001487306867528	0.000164583552569	-1.0307889070611362	0.0001645836341886	3.549740079922971e-05	inf	inf	-1.4931249434946593e-154	1.0635294425628266e-94	3.4834401649603766e+228	1.202615080187e-311	6.95187041078133e-310	0.0	0.0	0.0	0.0	1.202610466618e-311	6e-323	50.0
66	NMN	0.0014214508658124	-0.8565709865958279	0.0119425014870732	0.0011600189299946	0.0119424879736694	0.001220565834142	inf	-inf	6.9519498727627e-310	0.0	4e-323	1.2026218179855e-311	1.2026150804755e-311	0.0	0.0	2.1219957905e-314	0.0	0.0	8.15796157373283e-43	50.0
67		0.0010302668723548	-0.1490813905077802	0.0086559094577522	0.0008409142348235	0.008655908792207	-1.0835152282268712	inf	-inf	0.0	7.4e-323	7.4e-323	0.0	0.0	1.202618314815e-311	1.2026142675715e-311	1.2026110728245e-311	-1.493489122089765e-154	0.0	0.0	50.0
68	NAD	1.201460433302816	0.9517383024461042	-0.0294434743746066	0.9806934673682248	-0.0294434656473364	1.0316652345056807	-inf	inf	1.076626217248244e+277	0.0	6.95194986536514e-310	0.0	6.95194986538175e-310	0.0	0.0	0.0	6.9519498728354e-310	0.0	4e-323	50.0
69	NaAD	-8.859731238667912e-13	-7.024748365305227e-13	3.1122258981001574e-14	-7.231765865746319e-13	2.078097235272912e-14	-7.607638547758436e-13	inf	-inf	1.202615080187e-311	1.6779197143673458e+243	0.0	7.4e-323	0.0	0.0	6.21648314439745e-310	0.0	0.0	7.4e-323	7.4e-323	50.0
70	NR	-8.887389291294876e-09	-5.968963875668113e-08	7.622300132537429e-07	-7.254356637861664e-09	-7.517461288797494e-08	-7.6313878766982e-09	-inf	inf	0.0	1.202618315479e-311	1.2010496176863e-311	0.0	0.0	1.2010496176863e-311	0.0	0.0	0.0	0.0	6.95194986536514e-310	50.0
71	NAR	-2.1491394584577486e-10	-1.438588117520054e-09	-1.8056254868507707e-09	-1.7501646697629966e-10	-1.8056263725133995e-09	-1.8454160825844577e-10	-inf	inf	6.9519498727769e-310	0.0	1.202615080345e-311	0.0	6.3244936108728e-310	0.0	7.4e-323	0.0	1.2026150807957e-311	5e-324	0.0	50.0
72	NAM	-1.0223684109724342	1.3030723435556697	1.0613963261567212	0.9475487498290728	1.0613963160231688	1.30299692318382	1.058792142749857	1.3021015735633257	0.0	9.279233746389736e+199	7.727819902446094e+228	2.59458115875878e+161	5.5199979851301406e+228	9.479058508652662e+179	1.6928021207302066e-307	0.0	0.0	7.4e-323	4e-323	50.0
73	NaMN	6.92300030386815e-06	5.410013751510959e-06	3.845040617755965e-05	-1.0041970105331728	3.845040571024149e-05	5.405066181078741e-06	3.835606638450857e-05	5.405980129659399e-06	-1.7926825509785e-310	1.0635294425628266e-94	3.483440164960454e+228	7928846488660339.0	4.443806195307074e+252	5.293695428895758e+180	0.0	0.0	0.0	1.202607713423e-311	6.384815116218035e+20	50.0
74	NMN	8.907384393282862e-07	-0.0002048703511563	2.934353419180389e-06	3.3608970626931215e-08	2.934353034974169e-06	6.790462486817077e-08	2.9271538516901185e-06	-0.0002047177439941	7.2020768756615385e+252	8288597344216406.0	3978982.7926151054	5.852818101132085e+63	2.3095566190001305e+161	7.053156512472963e+87	4.765339078661008e-38	2.1219957905e-314	0.0	9.27923374638954e+199	2.579671785186458e-57	50.0
75		0.0243910561831048	-1.378792628290623	0.0803512750701404	0.0012459364745435	0.0803512707602292	-1.379081599341618	0.0801541296192835	-1.3777655762000856	7.932538912301001e+68	3.819482591556362e+180	1.1415631926304748e+243	6.384648614886652e+20	3.452272687346395e+132	2.5196941890073337e+180	1.2026142779746e-311	1.2026110688166e-311	-1.5040503097376727e-154	1.0635294425628266e-94	3.4834401649603766e+228	50.0
76	NAD	0.9547774135568274	0.0726339384257073	-1.0923723486862886	0.0529308515818007	-1.0923723348671233	0.0727864951917753	-1.0896921642212951	0.0725799490190313	1.0766265412448132e+277	2654876.714460901	9.040504396019611e+223	6.982031352718052e+252	1.4376319545062692e+180	6.964076089067324e+252	0.0	0.0	6.9519498711544e-310	0.0	4e-323	50.0
77	NaAD	-8.3589915668806e-09	-6.359036888865084e-10	9.56366750519176e-09	-4.6340491062872093e-10	9.563618449693631e-09	-6.372393092378423e-10	9.540202618785032e-09	-6.354310428099687e-10	2.3164910662874864e-152	1.6779200365728925e+243	9.750238216029356e+199	5.5199979851301406e+228	4.880463037154749e+252	2.1739182640308068e-100	6.21648314439745e-310	0.0	0.0	7.4e-323	7.4e-323	50.0
