	metabolite	PNCA	PNCB	NADD-NaMN	NADE	SIRT	NAMPT	NADD-NMN	NT5-NaMN	NT5-NMN	NADR-NMN	PNP-NR	NADR-NaMN	PNP-NAR	NMN thermolysis	NaMN thermolysis	NAR thermolysis	NR thermolysis	NAD thermolysis	Summation Error	temperature
2233	NaMN	6.795983083546949e-05	inf	5.77251896653905e-05	-1.0113573885435403	5.8689387235425895e-05	inf	5.739917280685288e-05	inf	-1.24954136941733e-310	1.0635294425628266e-94	3.483440164960454e+228	7928846488660339.0	4.443806195307074e+252	5.293695428895758e+180	0.0	0.0	0.0	8.665992326443e-312	6.38481511621804e+20	80.0
2234	NMN	3.192919190244468e-09	-inf	2.712070697901755e-09	-4.74904895958249e-05	2.75737105969943e-09	inf	2.6967527313921547e-09	-inf	7.2020768756615385e+252	8288597344216406.0	3978982.7926151054	5.852818101132085e+63	2.3095566190001305e+161	7.053156512472963e+87	8.40735241e-315	0.0	0.0	9.27923374638954e+199	4.798489601971624e+226	80.0
2235		4.1235138249910373e-07	-inf	3.5025192780667453e-07	-0.0061230948636618	3.561022690467601e-07	-inf	3.482737958547712e-07	-inf	7.932538912301001e+68	3.819482591556362e+180	1.1415631926304748e+243	6.384648614886652e+20	3.452272687346395e+132	2.5196941890073337e+180	0.0	0.0	-1.5004091272236643e-154	1.0635294425628266e-94	3.483440164960454e+228	80.0
2236	NAD	1.7509409456736234	inf	0.0388359166176174	1.674488832497263	-0.0075274707795473	inf	0.0386165587091977	inf	1.0766265412448132e+277	2654876.714460901	9.040504396019611e+223	6.982031352718052e+252	1.4376319545062692e+180	6.964076089067324e+252	0.0	8.666015504525e-312	6.95194987138207e-310	0.0	3e-323	80.0
2237	NaAD	-1.7665603545927098	-inf	0.003755159189907	-1.6894264192551431	0.0030939943583302	-inf	0.0037338399105898	-inf	2.3164910662874864e-152	1.6779200365728925e+243	9.750238216029356e+199	5.5199979851301406e+228	4.880463037154749e+252	2.1739182640308068e-100	7.4e-323	0.0	0.0	7.4e-323	7.4e-323	80.0
2238	NR	0.0050909471134944	inf	-0.0427785051555463	0.0048688336743476	0.0044739080395229	inf	-0.0425367694175039	inf	1.4376469339394953e+180	2.1130967136856422e+214	2.1502896782180453e-13	4.443806195307074e+252	7.50048895508258e+247	7.2020768756615385e+252	9.1771525185649e+170	8.66601550073e-312	1.076626217248244e+277	0.0	6.95194986536514e-310	80.0
2239	NAR	-8.756658815463606e-11	-inf	-7.43792008814003e-11	1.3028858111019738e-06	-7.562157436110173e-11	-inf	-7.395912643385549e-11	inf	1.37947153028908e+219	6.384817653809667e+20	6.193442051059869e+175	2.3095566190001305e+161	1.1782872971038268e+180	7.932538912301001e+68		0.0	8.666015810055e-312	1.6779197143673458e+243	0.0	80.0
2240	NAM	-0.0267609248905959	1.3946238101783834	-0.0583698549641279	1.392022253882805	-0.0583711435826816	1.3946238635323072	-0.0580909719499136	1.3935718411466127	9.1771525185649e+170	8.666015505316e-312	8.66581905786e-312	7.4e-323	0.0	8.666133912377e-312	0.0	0.0	0.0	7.4e-323	4e-323	80.0
2241	NaMN	7.307964438622387e-09	2.766134775926171e-09	1.5940380560747813e-08	-1.0000030337307924	1.5940535566326557e-08	2.766133725900282e-09	1.5864221254893588e-08	2.764042402516602e-09	-9.777152174436e-311	0.0	7.4e-323	8.665987612504e-312	6.95194986205886e-310	0.0	3.6806590670658433e+180	0.0	0.0	8.665992124074e-312	6.38481511621804e+20	80.0
2242	NMN	1.3608938941380865e-12	-2.7190831162962787e-10	2.968337564335151e-12	-2.7022665226785237e-10	2.968467485268061e-12	5.152462224371676e-13	2.9541527688470488e-12	-2.7170311047153033e-10	6.9519498617786e-310	0.0	0.0	8.66607245318e-312	0.0	0.0	5.7e-322	0.0	2.61e-321	9.27923374638954e+199	1.8302513046540808e-76	80.0
