temperature	PNCA	NAPRT	NMNAT1-NaMN	NADS	SIRT	NAMPT	NMNAT1-NMN	NT5-NaMN	NT5-NMN	NRK1-NMN	PNP-NR	NRK1-NaMN	PNP-NAR	NMN thermolysis	NaMN thermolysis	NAR thermolysis	NR thermolysis	NAD thermolysis	pathway	objective
60.0	1.3799555505007555e-08	1.3980270528596728e-08	1.379955550500756e-08	1.3799555505007561e-08	1.2945465590073296e-08	4.40400370031111e-16	-1.9331819403145524e-10	3.900383487854222e-13	2.5312728774743897e-15	2.500155443590912e-15	3.0890735031304655e-17	3.852776095838407e-13	4.7603078463270556e-15	1.933186033143911e-10	1.8071026261228056e-10	6.6882319569937345e-19	2.266988521739907e-19	6.607717209028082e-10	PNCA	min_ratio
60.0	2.0890312366015477e-07	2.0894673299578808e-07	2.0890312366017374e-07	2.0890312366015469e-07	2.0801798806058177e-07	2.377064051372829e-15	-2.1035442328795197e-10	2.0308938582419243e-14	5.711987720385083e-16	8.057162395958595e-20	5.711030450271589e-16	2.864784128587704e-18	2.0305994355117278e-14	2.1035622923965167e-10	4.358902955959533e-11	1.031649176135549e-20	1.5155387389866127e-20	6.747811762791422e-10	PNCA	min_ratio
60.0	1.4657577765625395e-08	1.472736481963359e-08	1.4657577765625397e-08	1.4657577765625399e-08	1.3785797327636356e-08	1.1191652914280186e-18	-2.0568098246152702e-10	6.328009308974317e-15	1.0955559862588128e-16	5.153904704161781e-23	3.846477770837351e-18	5.554160545923079e-20	4.146367783993176e-15	2.0568087402514312e-10	6.978072605443056e-11	2.181585982313363e-15	1.057090693159969e-16	6.660994555275123e-10	PNCA	min_ratio
60.0	7.807865902867277e-10	9.58147458450364e-10	7.807865902867276e-10	7.807865902867276e-10	1.2853183966186702e-15	7.984371987826352e-17	-5.054577119713869e-11	1.2110127402181014e-16	2.0946134164897273e-19	8.445163678645802e-23	1.2550558587955922e-25	2.4986106458662788e-18	3.713301725101687e-21	5.0545850831481704e-11	1.7736074956095998e-10	1.1859896310881313e-16	2.0937676450660032e-19	7.302395337711923e-10	PNCA	min_ratio
60.0	2.645150680349249e-07	2.645205889053021e-07	2.6451506803492496e-07	2.6451506803492496e-07	2.6364564148661325e-07	5.821071150133466e-19	-2.0665641756877304e-10	2.4311732825473513e-13	5.4835896382907596e-14	1.0787041221230495e-20	5.483068538622144e-14	4.782925388684339e-20	2.4311679490565603e-13	2.0660158226343633e-10	5.27775309665834e-12	4.414355934764249e-19	5.200209644951509e-18	6.627701307447352e-10	PNCA	min_ratio
60.0	2.9493258237071226e-09	2.949371476608731e-09	2.949325823707709e-09	2.9493258237071214e-09	5.894818669102088e-10	1.2886092719837538e-20	-5.6082672988192e-10	3.2835831232070025e-20	2.3125946338028635e-18	1.2843696565098866e-18	1.740032714541305e-22	3.173949097794422e-20	4.2999888877252534e-24	5.608267301466167e-10	4.5652901117888625e-14	4.863845565333107e-22	1.0280509740215227e-18	1.7990172256349577e-09	PNCA	min_ratio
60.0	2.1916916760219097e-09	2.2106826503936864e-09	2.1916916760219085e-09	2.19169167602191e-09	9.072720913950424e-16	1.1897631481852959e-14	-5.097114426976108e-10	5.221953756832023e-13	8.240414479119349e-14	7.21686145833861e-16	6.01713892673791e-19	1.5973312822595027e-13	1.3939854474783558e-16	5.096416578704449e-10	1.8628512124478984e-11	3.6232284875308793e-13	8.168185693146696e-14	1.6819793260522101e-09	PNCA	min_ratio
60.0	5.35479885121776e-08	5.35480117108929e-08	5.354798851219165e-08	5.354798851219224e-08	5.150822705623269e-08	1.9948499436923477e-12	-4.832369087896251e-10	1.668576970725225e-20	2.0023385324407786e-18	1.9967949305914375e-18	5.5360385656476e-21	-2.616767604678788e-17	-7.25488940045757e-20	4.852317582113622e-10	2.3198701415115908e-14	-1.897567739785303e-24	7.563283693554143e-24	1.556524545024666e-09	PNCA	min_ratio
60.0	1.0833629439171552e-08	1.101006772473237e-08	1.0833629439171549e-08	1.0833629439171549e-08	9.96211959129093e-09	5.709893552835279e-15	-1.946916563629065e-10	1.2050311498478913e-16	8.056950463280724e-19	4.652427995411077e-22	1.675480252871105e-20	1.7348637034134116e-18	6.24781524841993e-17	1.9469736545122985e-10	1.764381667925669e-10	5.629009856600457e-17	7.884750009998202e-19	6.768181915177143e-10	PNCA	min_ratio
60.0	3.032198800806671e-06	3.032375342041536e-06	3.032198800806671e-06	3.032198800806671e-06	3.031322452022379e-06	3.1713967649434553e-12	-2.058103069863022e-10	1.2056995471464504e-16	8.646865556056268e-19	7.313151590778172e-19	1.1501823261323214e-21	1.1994126002831957e-16	1.886386780269386e-19	2.0898170361770738e-10	1.76541234262105e-10	4.1516468466085717e-19	1.3222121420167724e-19	6.705384773045221e-10	PNCA	min_ratio
